number,neoficialiai,compound,years,kokia_kaina,kokia_kaina_compound,euro_nom,cent_nom,kiek_kainuoja,kiek_kainuoja_compound,euro_acc,cent_acc
1,vieni,,metai,vienas,,euras,centas,vieną,,eurą,centą
2,du,,metai,du,,eurai,centai,du,,eurus,centus
3,trys,,metai,trys,,eurai,centai,tris,,eurus,centus
4,keturi,,metai,keturi,,eurai,centai,keturis,,eurus,centus
5,penki,,metai,penki,,eurai,centai,penkis,,eurus,centus
6,šeši,,metai,šeši,,eurai,centai,šešis,,eurus,centus
7,septyni,,metai,septyni,,eurai,centai,septynis,,eurus,centus
8,aštuoni,,metai,aštuoni,,eurai,centai,aštuonis,,eurus,centus
9,devyni,,metai,devyni,,eurai,centai,devynis,,eurus,centus
10,dešimt,,metų,dešimt,,eurų,centų,dešimt,,eurų,centų
11,vienuolika,,metų,vienuolika,,eurų,centų,vienuolika,,eurų,centų
12,dvylika,,metų,dvylika,,eurų,centų,dvylika,,eurų,centų
13,trylika,,metų,trylika,,eurų,centų,trylika,,eurų,centų
14,keturiolika,,metų,keturiolika,,eurų,centų,keturiolika,,eurų,centų
15,penkiolika,,metų,penkiolika,,eurų,centų,penkiolika,,eurų,centų
16,šešiolika,,metų,šešiolika,,eurų,centų,šešiolika,,eurų,centų
17,septyniolika,,metų,septyniolika,,eurų,centų,septyniolika,,eurų,centų
18,aštuoniolika,,metų,aštuoniolika,,eurų,centų,aštuoniolika,,eurų,centų
19,devyniolika,,metų,devyniolika,,eurų,centų,devyniolika,,eurų,centų
20,dvidešimt,,metų,dvidešimt,,eurų,centų,dvidešimt,,eurų,centų
21,dvidešimt,vieni,metai,dvidešimt,vienas,euras,centas,dvidešimt,vieną,eurą,centą
22,dvidešimt,du,metai,dvidešimt,du,eurai,centai,dvidešimt,du,eurus,centus
23,dvidešimt,trys,metai,dvidešimt,trys,eurai,centai,dvidešimt,tris,eurus,centus
24,dvidešimt,keturi,metai,dvidešimt,keturi,eurai,centai,dvidešimt,keturis,eurus,centus
25,dvidešimt,penki,metai,dvidešimt,penki,eurai,centai,dvidešimt,penkis,eurus,centus
26,dvidešimt,šeši,metai,dvidešimt,šeši,eurai,centai,dvidešimt,šešis,eurus,centus
27,dvidešimt,septyni,metai,dvidešimt,septyni,eurai,centai,dvidešimt,septynis,eurus,centus
28,dvidešimt,aštuoni,metai,dvidešimt,aštuoni,eurai,centai,dvidešimt,aštuonis,eurus,centus
29,dvidešimt,devyni,metai,dvidešimt,devyni,eurai,centai,dvidešimt,devynis,eurus,centus
30,trisdešimt,,metų,trisdešimt,,eurų,centų,trisdešimt,,eurų,centų
31,trisdešimt,vieni,metai,trisdešimt,vienas,euras,centas,trisdešimt,vieną,eurą,centą
32,trisdešimt,du,metai,trisdešimt,du,eurai,centai,trisdešimt,du,eurus,centus
33,trisdešimt,trys,metai,trisdešimt,trys,eurai,centai,trisdešimt,tris,eurus,centus
34,trisdešimt,keturi,metai,trisdešimt,keturi,eurai,centai,trisdešimt,keturis,eurus,centus
35,trisdešimt,penki,metai,trisdešimt,penki,eurai,centai,trisdešimt,penkis,eurus,centus
36,trisdešimt,šeši,metai,trisdešimt,šeši,eurai,centai,trisdešimt,šešis,eurus,centus
37,trisdešimt,septyni,metai,trisdešimt,septyni,eurai,centai,trisdešimt,septynis,eurus,centus
38,trisdešimt,aštuoni,metai,trisdešimt,aštuoni,eurai,centai,trisdešimt,aštuonis,eurus,centus
39,trisdešimt,devyni,metai,trisdešimt,devyni,eurai,centai,trisdešimt,devynis,eurus,centus
40,keturiasdešimt,,metų,keturiasdešimt,,eurų,centų,keturiasdešimt,,eurų,centų
41,keturiasdešimt,vieni,metai,keturiasdešimt,vienas,euras,centas,keturiasdešimt,vieną,eurą,centą
42,keturiasdešimt,du,metai,keturiasdešimt,du,eurai,centai,keturiasdešimt,du,eurus,centus
43,keturiasdešimt,trys,metai,keturiasdešimt,trys,eurai,centai,keturiasdešimt,tris,eurus,centus
44,keturiasdešimt,keturi,metai,keturiasdešimt,keturi,eurai,centai,keturiasdešimt,keturis,eurus,centus
45,keturiasdešimt,penki,metai,keturiasdešimt,penki,eurai,centai,keturiasdešimt,penkis,eurus,centus
46,keturiasdešimt,šeši,metai,keturiasdešimt,šeši,eurai,centai,keturiasdešimt,šešis,eurus,centus
47,keturiasdešimt,septyni,metai,keturiasdešimt,septyni,eurai,centai,keturiasdešimt,septynis,eurus,centus
48,keturiasdešimt,aštuoni,metai,keturiasdešimt,aštuoni,eurai,centai,keturiasdešimt,aštuonis,eurus,centus
49,keturiasdešimt,devyni,metai,keturiasdešimt,devyni,eurai,centai,keturiasdešimt,devynis,eurus,centus
50,penkiasdešimt,,metų,penkiasdešimt,,eurų,centų,penkiasdešimt,,eurų,centų
51,penkiasdešimt,vieni,metai,penkiasdešimt,vienas,euras,centas,penkiasdešimt,vieną,eurą,centą
52,penkiasdešimt,du,metai,penkiasdešimt,du,eurai,centai,penkiasdešimt,du,eurus,centus
53,penkiasdešimt,trys,metai,penkiasdešimt,trys,eurai,centai,penkiasdešimt,tris,eurus,centus
54,penkiasdešimt,keturi,metai,penkiasdešimt,keturi,eurai,centai,penkiasdešimt,keturis,eurus,centus
55,penkiasdešimt,penki,metai,penkiasdešimt,penki,eurai,centai,penkiasdešimt,penkis,eurus,centus
56,penkiasdešimt,šeši,metai,penkiasdešimt,šeši,eurai,centai,penkiasdešimt,šešis,eurus,centus
57,penkiasdešimt,septyni,metai,penkiasdešimt,septyni,eurai,centai,penkiasdešimt,septynis,eurus,centus
58,penkiasdešimt,aštuoni,metai,penkiasdešimt,aštuoni,eurai,centai,penkiasdešimt,aštuonis,eurus,centus
59,penkiasdešimt,devyni,metai,penkiasdešimt,devyni,eurai,centai,penkiasdešimt,devynis,eurus,centus
60,šešiasdešimt,,metų,šešiasdešimt,,eurų,centų,šešiasdešimt,,eurų,centų
61,šešiasdešimt,vieni,metai,šešiasdešimt,vienas,euras,centas,šešiasdešimt,vieną,eurą,centą
62,šešiasdešimt,du,metai,šešiasdešimt,du,eurai,centai,šešiasdešimt,du,eurus,centus
63,šešiasdešimt,trys,metai,šešiasdešimt,trys,eurai,centai,šešiasdešimt,tris,eurus,centus
64,šešiasdešimt,keturi,metai,šešiasdešimt,keturi,eurai,centai,šešiasdešimt,keturis,eurus,centus
65,šešiasdešimt,penki,metai,šešiasdešimt,penki,eurai,centai,šešiasdešimt,penkis,eurus,centus
66,šešiasdešimt,šeši,metai,šešiasdešimt,šeši,eurai,centai,šešiasdešimt,šešis,eurus,centus
67,šešiasdešimt,septyni,metai,šešiasdešimt,septyni,eurai,centai,šešiasdešimt,septynis,eurus,centus
68,šešiasdešimt,aštuoni,metai,šešiasdešimt,aštuoni,eurai,centai,šešiasdešimt,aštuonis,eurus,centus
